Video ID,Title,publishedAt,Duration,Views,Likes,Comments,TranslatedTitle,DurationSec,ContentType,EngageRatio,publishedTime
HNLFQlqUMLI,Korean Navy Boot Camp Day 2: “The hardest thing I’ve ever done”,2024-05-22 11:34:07,1900-01-01 00:32:26,3922557,124980,10655.0,Korean Navy Boot Camp Day 2: “The Hardest Thing I'm Ever Done”,1946,Longs,0.03457821008082228,12:00:00
Q360pBV2ttk,British Headmaster tries the most Exclusive BBQ in Korea!! (before Boot Camp),2024-05-18 11:30:10,1900-01-01 00:21:38,1959247,72403,1981.0,British Headmaster Tries The Most Exclusive BBQ in Korea !!(Before Boot Camp),1298,Longs,0.037965606174208764,12:00:00
1ZmTv44nVxg,British Students join Korean Navy: Boot Camp Day 1,2024-05-15 13:22:19,1900-01-01 00:31:36,5034568,148202,11705.0,British Students Join Korean navy: Boot Camp Day 1,1896,Longs,0.03176181153973886,13:00:00
JlOclmTq7kA,British Students shave their heads for Korean Military Service,2024-05-08 12:10:05,1900-01-01 00:28:14,3286992,131944,4600.0,British Students Shaves Shaves for Korean Military Service,1694,Longs,0.041540715645185626,12:00:00
mEIJxaJLGUE,British Students’ Last Meal before Military: Korea’s #1 BBQ,2024-05-01 11:52:22,1900-01-01 00:20:03,3253597,120746,3319.0,British Students ’Last Meal Before Military: Korea's #1 BBQ,1203,Longs,0.03813164322440671,12:00:00
GYLps1Hy1As,British Highschoolers Reunite! You’re going to Korean Military Service!!,2024-04-24 12:39:08,1900-01-01 00:10:35,3341382,197529,14327.0,British HighSchoolers Reunite!You'RE Going to Korean Military Service !!,635,Longs,0.06340370541290999,13:00:00
VtU-KxlGxiY,MLB Players Try Korean Baseball Stadium Food for the first time!!,2024-04-17 11:33:01,1900-01-01 00:13:01,3331360,103751,2695.0,MLB Players Try Korean Baseball Stadium Food for the First Time !!,781,Longs,0.031952716007876664,12:00:00
L2OS7KZsvQo,British footballers try Korean Jeon!,2024-04-15 11:00:23,1900-01-01 00:00:59,240553,11502,56.0,British Footballers Try Korean Jeon!,59,Shorts,0.04804762360062024,11:00:00
6i7AvD7WTb4,"""The Knowledge"" is the hardest test",2024-04-12 11:00:05,1900-01-01 00:01:00,170578,7071,47.0,"""The Knowedge"" is the hardest test",60,Shorts,0.041728710619188876,11:00:00
mUqo9veukno,Koreans ALWAYS have this with fried chicken,2024-04-11 11:00:37,1900-01-01 00:01:00,346911,17977,57.0,Koreans Always Have with Fried Chicken,60,Shorts,0.051984514760269926,11:00:00
c-Pkz8W_T80,"""Just relax!"" Korean Traditional Massage almost killed him 😂",2024-04-10 11:00:26,1900-01-01 00:00:43,147709,7008,73.0,"""Just Relax!""Korean Traditional Massage Almost Killed Him 😂",43,Shorts,0.04793885274424713,11:00:00
grTi7VHPYoQ,Wolves football team try Korean BBQ! ft. Ssam,2024-04-09 11:00:40,1900-01-01 00:00:53,286040,14840,35.0,Wolves Football Team Try Korean BBQ!ft.Ssam,53,Shorts,0.05200321633337995,11:00:00
VxneR1ztREI,You can't write this 😂 Korea's most brutal fairground ride!,2024-04-08 11:00:24,1900-01-01 00:00:59,180421,11312,113.0,You Can't Write This 😂 Korea's Most Brutal Fairground Ride!,59,Shorts,0.06332411415522583,11:00:00
l4huq2eGf2I,Rabokki makes British Highschoolers cry!,2024-04-05 11:00:43,1900-01-01 00:01:00,254889,13067,87.0,RABOKKI MAKES British HighSchoolers Cry!,60,Shorts,0.05160677785232003,11:00:00
XQRIY13G3jY,Tottenham footballers talk about Korean players,2024-04-04 11:00:23,1900-01-01 00:00:58,125857,4070,13.0,ToTenham Footballers Talk About Korean Players,58,Shorts,0.03244158052392795,11:00:00
hpYoBOWgZYA,Who's the most famous person you've driven?,2024-04-03 11:00:38,1900-01-01 00:00:59,183846,9494,35.0,Who's the MOST FAMOUS Person You've Drive?,59,Shorts,0.05183142412671475,11:00:00
tkwvK6oE9pY,Makgeolli (Korean Rice Wine) is THE ONE!,2024-04-02 11:00:43,1900-01-01 00:01:00,432441,24995,130.0,Makgeolli (Korean Rice Wine) is the one!,60,Shorts,0.058100411385599425,11:00:00
cyKJeD_vfAQ,Cambridge Students min-blown by Korean Pot noodles!,2024-04-01 11:00:34,1900-01-01 00:01:00,361404,22488,120.0,Cambridge Students Min-Blown by Korean Pot Noodles!,60,Shorts,0.06255603147723877,11:00:00
hdOJDHmmyW8,Learning Taekwondo exposed how un-coordinated he was 😂,2024-03-29 12:00:40,1900-01-01 00:00:50,101793,5730,38.0,Learning TAEKWONDO Exposed How Un-Coordinated He Was 😂,50,Shorts,0.056664014224946706,12:00:00
JuHjZbVwrOY,British highschoolers LOVE Korean Soy Garlic Chicken!,2024-03-28 12:00:28,1900-01-01 00:00:55,270435,15782,75.0,British Highschoolers Love Korean Soy Garlic Chicken!,55,Shorts,0.05863516186884094,12:00:00
Z0CwbdU74wE,Top Italian Chef's ULTIMATE K-chicken Tier List!,2024-03-27 12:00:37,1900-01-01 00:01:00,1220468,36037,462.0,TOP Italian chef's ultimate k-chicken tier list!,60,Shorts,0.02990574107637398,12:00:00
WX36AqpKRbQ,We tried Louis Vuitton Beef in Korea,2024-03-26 12:00:24,1900-01-01 00:01:01,112665,4552,26.0,We tried Louis Vuitton Beef in Korea,61,Longs,0.04063373718546132,12:00:00
ANM4TVKSPkE,British Highschool boys get recognised by Koreans!,2024-03-25 12:00:11,1900-01-01 00:00:59,559117,39210,149.0,British HighSchool Boys Get Recognised by Koreans!,59,Shorts,0.07039492628555383,12:00:00
mv8Wo3ul6qQ,Korean uni students show how festivals are done.,2024-03-22 12:00:46,1900-01-01 00:00:51,94719,3540,34.0,Korean uni Students Show How Festivals Are Done.,51,Shorts,0.03773266187354174,12:00:00
e00MYOCpzpg,Trying raw shrimp for the first time!,2024-03-21 12:00:37,1900-01-01 00:00:59,119272,5946,33.0,Trying Raw Shrimp for the First Time!,59,Shorts,0.05012911664095513,12:00:00
jkYYSsvOCx4,Wolves Football team Captain hates veges! 😂,2024-03-20 12:00:42,1900-01-01 00:00:38,695102,39312,156.0,Wolves Football Team Captain Hates Veges!😂,38,Shorts,0.05678015600588115,12:00:00
z83m3-2TsNI,This was NOT an ordinary boat ride!,2024-03-19 12:00:52,1900-01-01 00:01:00,118660,8069,41.0,This was not an order boat ride!,60,Shorts,0.0683465363222653,12:00:00
Q4Ot3pv_lJA,Korean Garlic Mayo Chicken is next level!,2024-03-18 12:00:31,1900-01-01 00:00:56,434558,24573,51.0,Korean Garlic Mayo Chicken is Next Level!,56,Shorts,0.05666447286668293,12:00:00
nLHwA8rzpjQ,Kimchi fried rice is the best bit of a Korean BBQ,2024-03-15 12:00:43,1900-01-01 00:00:53,204456,10940,50.0,Kimchi Fried Rice is the best bit of a Korean bbq,53,Shorts,0.053752396603670226,12:00:00
X94P1OC-Uiw,Korean pigs feet are actually so delicious!,2024-03-14 12:00:24,1900-01-01 00:00:58,213071,9164,60.0,Korean Pigs Feet are Actually So Delicious!,58,Shorts,0.04329073407455731,12:00:00
XwkNViVAoLk,We hit G4 on a rollercoaster,2024-03-13 12:00:34,1900-01-01 00:00:51,77933,4075,32.0,We hit g4 on a rollercoaster,51,Shorts,0.05269911334094671,12:00:00
30jtJ2w8pNw,Korean soldiers try UK MRE dessert!,2024-03-12 12:00:03,1900-01-01 00:00:56,127684,5144,21.0,Korean Soldiers Try UK MRE DESSERT!,56,Shorts,0.04045142696030826,12:00:00
zuA-Zg04cYU,The funniest unscripted moment during a shoot 😂,2024-03-11 12:00:53,1900-01-01 00:01:00,5110521,280707,1440.0,The Funniest Unscripted Moment During a Shoot 😂,60,Shorts,0.0552090481577123,12:00:00
CW6DaY0khWY,Guys try flying yoga for the first time 😂,2024-03-08 12:00:10,1900-01-01 00:00:59,115221,5906,51.0,Guys Try Flying Yoga for the First Time 😂,59,Shorts,0.05170064484772741,12:00:00
wl8fZ3IfbCU,Korean soldiers try British army rations!,2024-03-07 12:00:53,1900-01-01 00:00:59,125151,5929,39.0,Korean Soldiers Try British Army Rates!,59,Shorts,0.047686394835039274,12:00:00
JbwiHPKBtXw,British Highschoolers LOVE Ssamjang!,2024-03-06 12:00:28,1900-01-01 00:00:54,405992,20067,91.0,British HighSchoolers Love SSAMJANG!,54,Shorts,0.049651224654673,12:00:00
rcdKnhU4jdY,We ate a whole cow... ft Yoominsang,2024-03-05 12:00:45,1900-01-01 00:00:59,353065,9787,70.0,We ate a whole cow ... ft YOOMINSANG,59,Shorts,0.027918371971166783,12:00:00
2BcLC6QfWpE,"2-year old baby can't stop saying ""Little bogey!""",2024-03-04 12:00:02,1900-01-01 00:00:58,343520,24993,186.0,"2-year old baby can't stop saying ""Little Bogey!""",58,Shorts,0.07329704238472287,12:00:00
7EK5ijtq7AY,Why Koreans don't let you pour your own drink,2024-03-01 12:00:07,1900-01-01 00:00:53,107181,4556,38.0,Why Koreans Do You Pour Your Own Drink,53,Shorts,0.04286207443483453,12:00:00
CzlNS3HIJwY,"Telling NCT127 members what ""NCT"" means in England...",2024-02-29 12:00:17,1900-01-01 00:01:00,457337,34288,67.0,"Telling NCT127 MEMBERS What ""NCT"" Means in England ...",60,Shorts,0.07511966011934307,12:00:00
AgothXZHZpM,British 8th graders try the VIRAL Korean cheese corndogs!,2024-02-28 12:00:07,1900-01-01 00:00:56,430915,16417,101.0,British 8th Graders Try The Viral Korean Cheese Corn Dogs!,56,Shorts,0.038332385737326384,12:00:00
eQRKNGqJy7Q,"NCT Mark and Jaehyun's infamous ""willy prawn"" incident 😳 (ft. 고추새우)",2024-02-26 12:00:36,1900-01-01 00:00:51,187770,16249,63.0,"NCT Mark and Jaehyun's Infamous ""Willy Prawn"" Incident 😳 (FT. Pepper Shrimp)",51,Shorts,0.08687223731160462,12:00:00
Z7aU7NXcqoo,Korea DIVERT PLANES during college exams!,2024-02-23 12:00:25,1900-01-01 00:01:00,687292,41744,145.0,Korea DiverT Planes During College Exams!,60,Shorts,0.06094789405376463,12:00:00
wxYsjVGLF_Y,British kids get schooled by the Korean SAT English exam! aka Suneung!,2024-02-21 12:01:01,1900-01-01 00:01:00,5686894,296982,2269.0,British Kids Get School by the Korean SAT English Exam!Aka Suneung!,60,Shorts,0.052621167196012446,12:00:00
eppBVLm59RY,British Soldiers try SELF-HEATING Korean Rations!,2024-02-20 12:00:42,1900-01-01 00:00:50,8348431,330630,1308.0,British Soldiers Try Self Self-Heating Korean Rites!,50,Shorts,0.03976052506153552,12:00:00
j5_B4fMulEU,British Highschoolers CRY doing the FIRENOODLE CHALLENGE!,2024-02-19 12:00:43,1900-01-01 00:01:00,716512,42459,193.0,British Highschoolers Cry Doing the Firenoodle Challenge!,60,Shorts,0.05952726541914162,12:00:00
-EoFLrerVAU,"Panicking in front of your childhood hero, DAVID BECKHAM.",2024-02-16 12:00:00,1900-01-01 00:00:55,133289,6569,35.0,"Panicking in Front of Your Childhood Hero, David Beckham.",55,Shorts,0.049546474202672386,12:00:00
FJ5_lfeGMjM,We fed a WHOLE SCHOOL Korean Fried Chicken!,2024-02-15 12:00:17,1900-01-01 00:01:00,260038,19790,106.0,We fed a whole school Korean fried chicken!,60,Shorts,0.07651189441543159,12:00:00
Cvj8Vtvpdps,Dance battling a Kpop choreographer (ft. LEEJUNG),2024-02-14 12:00:10,1900-01-01 00:00:40,197757,11317,54.0,Dance Battling a kpop choreography (FT. Leejung),40,Shorts,0.057499860940447116,12:00:00
EOgq0zRZLsM,When you try to learn a BLACKPINK choreography from LEEJUNG... THE BLACKPINK CHOREOGRAPHER,2024-02-13 12:00:17,1900-01-01 00:00:52,122983,4816,30.0,When you try to learn a blackpink choreography from Leejung ... The Blackpink CHOROPHER,52,Shorts,0.03940382004016815,12:00:00
0VQojykghKQ,British uni students get roasted playing Korean drinking games,2024-02-12 14:00:00,1900-01-01 00:00:59,404380,21854,55.0,British Uni Students Get Roasted Playing Korean Drinking Games,59,Shorts,0.05417923735100648,14:00:00
9OhTZqMgBZQ,How SHINee Minho got his nickname!,2024-02-09 11:00:07,1900-01-01 00:00:59,509040,39084,96.0,How SHINEE MINHO GOT HIS NICKNAME!,59,Shorts,0.07696841112682697,11:00:00
s9KwiGNW4tk,Falling in love with a Kpop Star (ft. LOVELYZ Mijoo),2024-02-08 12:00:50,1900-01-01 00:00:59,2095080,124762,451.0,Falling in love with a kpop star (FT. Lovelyz Mijoo),59,Shorts,0.05976525956049411,12:00:00
kxdtxzrtDJE,When you get the lyrics wrong in front of the actual artist 😬 (ft. Minho from SHINee),2024-02-07 11:00:43,1900-01-01 00:00:50,2252378,183238,360.0,When you get the Lyrics Written in Front of the Actual Artist 😬 (FT. Minho from SHINee),50,Shorts,0.08151296096836322,11:00:00
tcsQQAc3-Ks,British Highscoolers try Korean Cheese Hotdogs!,2024-02-06 14:00:40,1900-01-01 00:00:47,415700,18824,71.0,British Highschoolers Try Korean Cheese Hot Dogs!,47,Shorts,0.04545345200866009,14:00:00
_gcaRNrDGUA,SONNY Tries Beckham‘s Favourite Food!,2024-02-02 17:48:46,1900-01-01 00:00:42,157008,5768,56.0,Sonny Tries Beckham ’s Favourite Food!,42,Shorts,0.03709365127891572,18:00:00
qCNkI8cNB08,Top Tier Korean Lunch,2024-01-30 22:12:31,1900-01-01 00:00:29,9408318,517745,432.0,Top tier Korean lunch,29,Shorts,0.05507647594394662,22:00:00
OSZRyyyFyWg,Sonny tries Britain's best dessert! #food #koreanfootball,2024-01-29 13:32:09,1900-01-01 00:00:36,258457,11730,50.0,Sonny Tries Britain's Best Dessert!#food #koreanfootball,36,Shorts,0.045578181283540395,14:00:00
WfO552wyTrE,Korean Lobster Claws are HUGE,2024-01-12 14:00:31,1900-01-01 00:00:25,165895,6521,32.0,Korean Lobster Claws Are Huge,25,Shorts,0.03950088911660991,14:00:00
zmqrQ99bKHY,King Charles' favourite Kpop group is,2024-01-10 14:00:54,1900-01-01 00:00:51,156868,8836,55.0,King Charles' Favourite KPOP Group is,51,Shorts,0.05667822627941964,14:00:00
iLkrkmjHayQ,"Premier League footballers try Korean ""dessert""!?",2024-01-09 14:00:34,1900-01-01 00:00:49,148042,5395,30.0,"Premier League Footballers Try Korean ""Dessert""!?",49,Shorts,0.03664500614690425,14:00:00
ob9ZG28hFHI,What I said to the Korean President,2024-01-08 14:00:38,1900-01-01 00:00:25,782218,51466,164.0,What I say to the Korean President,25,Shorts,0.06600461763856112,14:00:00
ocg2CIQVA70,Italian chef tries AUTHENTIC Kimchi Stew!,2023-12-14 14:29:00,1900-01-01 00:00:20,358799,14398,84.0,Italian chef tries authentic kimchi stew!,20,Shorts,0.04036243133342066,14:00:00
tOniESsWl2c,Korean Rollercoasters are MENTAL!,2023-12-12 14:30:17,1900-01-01 00:00:50,141311,6208,38.0,Korean Rollercoasters Are Mental!,50,Shorts,0.04420038072053839,15:00:00
7bhFHrvr_1o,We can't find this in the UK.,2023-12-08 14:00:04,1900-01-01 00:00:35,300601,15874,38.0,We can like this in the uk.,35,Shorts,0.0529339556421968,14:00:00
fmtZOpNKk9E,Lewis Hamilton's Childhood,2023-12-07 14:00:35,1900-01-01 00:00:36,99400,4061,37.0,Lewis Hamilton's Childhood,36,Shorts,0.041227364185110665,14:00:00
yFb44SvDYFw,British Footballer Try Premium Korean Beef!,2023-12-05 16:30:16,1900-01-01 00:00:24,132349,6526,32.0,British Footballer Try Premium Korean Beef!,24,Shorts,0.049550808846307866,17:00:00
Z7r6FvNDB7k,David Beckham LOVE Korean BEEF!,2023-12-05 14:00:19,1900-01-01 00:00:25,2215997,34894,209.0,David Beckham Love Korean Beef!,25,Shorts,0.015840725416144518,14:00:00
oQ-VMDpV_SI,British Soldiers try KOREAN RATIONS!,2023-12-04 14:00:38,1900-01-01 00:00:42,6217277,331270,2110.0,British Soldiers Try Korean Rites!,42,Shorts,0.05362154525204523,14:00:00
5u1giRg-EHM,Lewis Hamilton tries KIMCHI!,2023-12-04 13:55:00,1900-01-01 00:00:20,1445215,64515,333.0,Lewis Hamilton Tries Kimchi!,20,Shorts,0.04487083236750241,14:00:00
oVThxyPImKE,Italian Chef tries the No.1 Korean BEEF.,2023-11-30 16:40:00,1900-01-01 00:00:44,158328,7107,39.0,Italian chef tries the no.1 Korean beef.,44,Shorts,0.04513415188722147,17:00:00
FxO0tyTD4AE,Ryan Reynolds Tries Korean Food!,2023-11-30 14:00:12,1900-01-01 00:00:38,1046688,49364,99.0,Ryan Reynolds Tries Korean Food!,38,Shorts,0.04725668011862179,14:00:00
N949JxKgzr4,Korean Cars have massage chairs! 🤯,2023-11-24 14:00:20,1900-01-01 00:00:13,72338,2719,18.0,Korean cars have metage Chairs!🤯,13,Shorts,0.03783626862783046,14:00:00
IAUQTvdb-SU,The Avengers try Asiatic Pear!,2023-11-23 14:00:16,1900-01-01 00:00:40,6481842,290827,1041.0,The Avengers Try Asianic Pear!,40,Shorts,0.04502855824008052,14:00:00
8BXmao0yHmQ,ROYAL GUARDS PLAY K-POP SONG FOR THE FIRST TIME!,2023-11-23 13:47:00,1900-01-01 00:00:36,239563,17368,114.0,Royal Guards Play K-POP Song for the First Time!,36,Shorts,0.07297454114366576,14:00:00
i5n6slWEriw,We had dinner with BLACKPINK at Buckingham Palace,2023-11-23 13:15:16,1900-01-01 00:07:14,3503012,177714,5761.0,We have dinner with Blackpink at Buckingham Palace,434,Longs,0.05237635497680282,13:00:00
FEuGQ--Epzk,Jeju Black pig is CRAZY,2023-11-21 14:00:10,1900-01-01 00:00:10,109329,3534,19.0,JEJU Black Pig is crazy,10,Shorts,0.03249823925948284,14:00:00
2ce9RVzMa2s,Italian Chef tries street Kimbap!,2023-11-20 14:00:03,1900-01-01 00:00:52,135913,4988,25.0,Italian chef Tries Street Kimbap!,52,Shorts,0.036883888958377783,14:00:00
zGN1lAbXFDc,Triangle Kimbap has the weirdest packaging!,2023-11-17 14:00:51,1900-01-01 00:00:41,241285,10250,74.0,Triangle Kimbap have the weirdest packaging!,41,Shorts,0.04278757485960586,14:00:00
j1RaslL0oC8,This is the JUCIEST Korean Pork,2023-11-16 12:44:07,1900-01-01 00:00:22,108903,3945,53.0,This is the juiciest Korean Pork,22,Shorts,0.0367115690109547,13:00:00
x0Jb6lsukyU,13 year old Kimchi Stew!,2023-11-16 12:00:51,1900-01-01 00:01:00,69893,2825,14.0,13 years old kimchi stew!,60,Shorts,0.040619232255018387,12:00:00
_HDMTjEg38c,Sonny feels the pressure!,2023-11-13 14:00:22,1900-01-01 00:00:50,179571,8611,46.0,Sonny Feels the Pressure!,50,Shorts,0.04820934337949892,14:00:00
cUfzZyOUNz4,The Ultimate BBQ Combo,2023-11-10 14:00:27,1900-01-01 00:00:50,132891,4159,27.0,The Ultimate BBQ COMBO,50,Shorts,0.03149949958988946,14:00:00
iMUYmCvwQQE,Brits try Korean BBQ,2023-11-09 14:00:35,1900-01-01 00:00:33,455013,24570,162.0,Brits Try Korean BBQ,33,Shorts,0.05435449097058765,14:00:00
fIZa7iBhYEI,$150 Kimbap!?,2023-11-07 11:46:57,1900-01-01 00:00:57,155321,6611,78.0,$ 150 kimbap!?,57,Shorts,0.04306565113539058,12:00:00
1-X9BissXZk,Chris Hemsworth LOVES this Korean snack!,2023-11-06 14:00:01,1900-01-01 00:00:25,225078,10789,30.0,Chris HEMSWORTH LOVES This Korean Snack!,25,Shorts,0.048067780947049464,14:00:00
_WLu73lrHNU,The REAL reason why David Beckham...,2023-11-03 16:33:15,1900-01-01 00:00:52,238142,10147,38.0,The REAL REASON WHY DAVID BECKHAM ...,52,Shorts,0.04276860024691151,17:00:00
4TP9UwPbz5M,Can British students take Korean Spicy Pork??,2023-11-02 14:02:18,1900-01-01 00:00:45,188465,8998,61.0,Can British Students Take Korean Spicy Pork ??,45,Shorts,0.04806728039689067,14:00:00
j3tQLu-afYQ,Chris Hemsworth learns Korean!,2023-10-31 14:00:29,1900-01-01 00:00:44,1493949,75921,123.0,Chris HEMSWORTH Learns Korean!,44,Shorts,0.050901335989381166,14:00:00
BuGylz5xdXs,David Beckham is a FOODIE!,2023-10-26 13:00:16,1900-01-01 00:00:48,266155,10309,62.0,David Beckham is a Foodie!,48,Shorts,0.03896601604328305,13:00:00
viBs0B_vnpg,Italian Chef tries the BEST Street Market food in Korea!!,2023-10-25 11:32:08,1900-01-01 00:08:01,1543746,51291,1210.0,Italian chef Tries the best street food in Korea !!,481,Longs,0.03400883305932453,12:00:00
sP5yqEN2m60,Acorns are edible!,2023-10-23 14:31:46,1900-01-01 00:00:33,948306,48112,105.0,Acorns Are EDIBLE!,33,Shorts,0.050845402222489365,15:00:00
Vzq3VI6a6mQ,Alex Albon reveals Yuki Tsunoda's dream!,2023-10-20 13:00:23,1900-01-01 00:00:33,154653,6482,19.0,Alex Albon Reveals Yuki Tsunoda's Dream!,33,Shorts,0.04203604197784718,13:00:00
IyORHOTTZXA,Korean FISH Ice Cream!,2023-10-19 15:32:45,1900-01-01 00:00:46,4608741,345786,1218.0,Korean Fish Ice Cream!,46,Shorts,0.07529257990414302,16:00:00
y89Tj_hPq4U,The best way to eat Korean BBQ,2023-10-17 16:06:50,1900-01-01 00:00:48,1230928,53499,142.0,The Best Way to Eat Korean BBQ,48,Shorts,0.043577690977863855,16:00:00
MhJUCWuf5CM,Chris Hemsworth tries Korean snacks!,2023-10-16 13:22:59,1900-01-01 00:00:54,242964,10161,39.0,Chris HEMSWORTH Tries Korean Snacks!,54,Shorts,0.041981528127623846,13:00:00
W7UoX1L6tCY,David Beckham tries Korean Pork Belly,2023-10-13 14:14:38,1900-01-01 00:00:58,347053,14226,111.0,David Beckham Tries Korean Pork Belly,58,Shorts,0.041310693179427926,14:00:00
naUHfq4H98c,REAL Korean Garlic Chicken!,2023-09-20 09:31:43,1900-01-01 00:00:58,176959,7208,35.0,Real Korean Garlic Chicken!,58,Shorts,0.040930385004436055,10:00:00
ysHxBQsv4cM,British Rappers DESTROYED by Korean Spicy Chicken!,2023-09-16 10:50:10,1900-01-01 00:00:40,567029,30665,136.0,British Rappers Destroyed by Korean Spicy Chicken!,40,Shorts,0.05431997305252465,11:00:00
yZYBc0E_2TA,Taron Egerton Tries Korean Fried Chicken,2023-08-14 12:26:58,1900-01-01 00:00:46,638635,25890,110.0,Taron EGERTON Tries Korean Fried Chicken,46,Shorts,0.040711830701417866,12:00:00
QHghyVe9SlQ,British Students try working at Korean Street Toast Stand!!,2023-08-09 11:30:37,1900-01-01 00:17:04,2107063,73269,1803.0,British Students Try Working at Korean Street Toast Stand !!,1024,Longs,0.035628740099370546,12:00:00
vCevRhjNJjM,Korean Robot Steak Chef!!,2023-07-05 11:30:20,1900-01-01 00:00:52,2097975,115259,493.0,Korean Robot Steak Chef !!,52,Shorts,0.055173202731205094,12:00:00
ahjrJQe349M,British Highschoolers try Korean Waterpark!,2023-07-04 16:41:09,1900-01-01 00:00:30,210899,7791,45.0,British Highschoolers Try Korean WaterPark!,30,Shorts,0.037155225961242114,17:00:00
mEAB3HACU0o,Ryan Reynolds Tries Korean Pancake for the first time,2023-07-03 12:46:06,1900-01-01 00:00:27,4113442,224547,504.0,Ryan Reynolds Tries Korean Pancake for the First Time,27,Shorts,0.05471111541137568,13:00:00
89zeh0nmUn0,British Uni Students try Authentic Korean Beef BBQ at a Meat Market!!,2023-06-28 11:30:03,1900-01-01 00:11:21,2840059,87365,1966.0,British uni Students Try Authentic Korean Beef BBQ at a Meat Market !!,681,Longs,0.03145392402059253,12:00:00
